,team,year,win,loss,off_yards_play,points_per_game,yards_play_allowed,avg_points_per_game_allowed,x3rd_percent,opponent_3rd_percent,x4th_percent,opponent_4th_percent,avg_turnover_margin_per_game,avg_yard_per_kickoff_return,avg_yards_per_punt_return,avg_yards_allowed_per_punt_return
17,Charlotte,2016,4,8,4.94,25.2,6.03,34.6,0.323,0.419,0.485,0.5,0.58,0.0,5.95,5.95
18,Cincinnati,2016,4,8,5.28,19.3,5.34,26.9,0.379,0.479,0.412,0.611,0.08,0.0,10.62,10.62
19,Clemson,2016,14,1,6.19,39.2,4.63,18.0,0.502,0.281,0.6,0.417,-0.07,0.0,5.2,5.2
20,Colorado,2016,10,4,5.54,31.1,4.87,21.7,0.443,0.327,0.421,0.45,0.43,0.0,13.12,13.12
21,Duke,2016,4,8,5.15,23.3,6.29,28.2,0.43,0.397,0.375,0.25,-0.33,0.0,9.38,9.38
22,East Carolina,2016,3,9,5.85,27.0,6.44,36.1,0.397,0.429,0.6,0.375,-1.33,1.0,11.29,11.29
23,Eastern Mich.,2016,7,6,5.92,29.6,5.84,29.8,0.468,0.419,0.615,0.75,0.08,0.0,7.19,7.19
24,FIU,2016,4,8,5.43,24.0,6.34,34.8,0.359,0.429,0.5,0.556,-0.75,1.0,10.5,10.5
25,Fla. Atlantic,2016,3,9,5.7,26.4,6.91,39.8,0.337,0.473,0.389,0.615,-0.42,0.0,8.62,8.62
26,Florida,2016,9,4,5.19,23.9,4.67,16.8,0.417,0.348,0.467,0.25,0.15,0.0,9.79,9.79
27,Florida St.,2016,10,3,6.46,35.1,5.27,25.0,0.438,0.339,0.6,0.444,0.23,0.0,18.6,18.6
28,Ga. Southern,2016,5,7,5.24,26.6,5.94,26.5,0.443,0.327,0.444,0.619,0.08,1.0,7.0,7.0
29,Georgia,2016,8,5,5.44,24.5,5.26,24.0,0.418,0.368,0.538,0.412,0.62,1.0,6.1,6.1
30,Georgia St.,2016,3,9,5.31,19.9,4.91,26.6,0.382,0.391,0.357,0.692,-0.42,1.0,12.43,12.43
31,Georgia Tech,2016,9,4,6.53,28.2,5.76,24.5,0.418,0.492,0.5,0.526,0.31,0.0,9.36,9.36
32,Houston,2016,9,4,5.32,35.8,4.8,23.5,0.472,0.342,0.633,0.421,-0.54,0.0,2.62,2.62
33,Idaho,2016,9,4,5.61,30.8,6.24,31.3,0.396,0.423,0.591,0.55,0.85,0.0,7.75,7.75
34,Illinois,2016,3,9,5.32,19.7,5.54,31.9,0.284,0.446,0.438,0.313,-0.17,0.0,11.38,11.38
35,Indiana,2016,6,7,5.59,25.8,5.09,27.2,0.399,0.329,0.259,0.63,-0.46,0.0,6.09,6.09
36,Iowa,2016,8,5,5.2,24.9,5.11,18.8,0.318,0.35,0.647,0.571,0.46,0.0,11.17,11.17
37,Iowa St.,2016,3,9,5.91,27.7,5.97,31.3,0.429,0.448,0.478,0.6,-0.25,0.0,4.4,4.4
38,Kansas,2016,2,10,4.96,20.3,6.04,37.3,0.33,0.356,0.25,0.444,-1.17,0.0,9.64,9.64
39,Kansas St.,2016,9,4,5.74,32.2,5.77,22.3,0.454,0.374,0.6,0.417,1.0,0.0,4.14,4.14
40,Kent St.,2016,3,9,4.85,20.6,5.21,28.7,0.331,0.398,0.357,0.625,0.92,0.0,8.81,8.81
41,Kentucky,2016,7,6,6.26,30.0,6.08,31.3,0.391,0.444,0.75,0.538,-0.54,0.0,5.43,5.43
42,La.-Monroe,2016,4,8,5.11,23.3,6.65,39.1,0.424,0.447,0.5,0.4,-0.92,1.0,7.94,7.94
43,Louisiana,2016,6,7,5.0,23.6,5.3,25.3,0.374,0.371,0.292,0.45,0.08,0.0,24.38,24.38
44,Louisiana Tech,2016,9,5,7.51,44.3,5.79,33.6,0.503,0.455,0.6,0.625,0.07,0.0,15.0,15.0
45,Louisville,2016,9,4,7.21,42.5,4.69,23.8,0.411,0.315,0.688,0.474,-0.54,0.0,9.63,9.63
46,LSU,2016,8,4,6.71,28.3,4.76,15.8,0.434,0.323,0.125,0.526,0.0,0.0,3.45,3.45
47,Marshall,2016,3,9,5.04,26.4,6.39,35.3,0.341,0.4,0.667,0.609,0.33,1.0,9.0,9.0
48,Maryland,2016,6,7,5.61,25.8,5.67,29.5,0.343,0.375,0.379,0.385,-0.54,0.0,5.0,5.0
49,Massachusetts,2016,2,10,5.33,23.3,6.13,35.5,0.325,0.404,0.5,0.6,-0.83,0.0,6.94,6.94
50,Memphis,2016,8,5,6.25,38.8,5.77,28.8,0.407,0.38,0.591,0.609,0.62,0.0,9.43,9.43
51,Miami,2016,9,4,6.43,34.3,4.75,18.5,0.363,0.386,0.462,0.292,0.69,1.0,7.9,7.9
52,Miami,2016,6,7,5.67,22.8,5.24,23.8,0.378,0.408,0.467,0.5,0.08,0.0,7.89,7.89
53,Michigan,2016,10,3,5.85,40.3,4.21,14.1,0.432,0.21,0.65,0.407,0.54,0.0,6.52,6.52
54,Michigan St.,2016,3,9,5.64,24.1,5.53,27.8,0.387,0.423,0.476,0.647,-0.42,1.0,5.44,5.44
55,Middle Tenn.,2016,8,5,6.92,39.7,5.47,35.8,0.446,0.386,0.286,0.61,-0.15,0.0,4.25,4.25
56,Minnesota,2016,9,4,5.24,29.3,4.82,22.1,0.384,0.388,0.5,0.462,0.62,0.0,4.16,4.16
57,Mississippi St.,2016,6,7,6.07,30.4,6.24,31.8,0.406,0.411,0.5,0.679,0.54,0.0,14.78,14.78
58,Missouri,2016,4,8,6.34,31.4,6.07,31.5,0.43,0.443,0.542,0.417,-0.25,1.0,5.55,5.55
59,Navy,2016,9,5,6.82,37.9,6.34,31.0,0.545,0.535,0.607,0.667,0.14,1.0,12.6,12.6
60,NC State,2016,7,6,5.75,27.0,5.13,22.8,0.438,0.349,0.444,0.63,0.15,0.0,14.89,14.89
61,Nebraska,2016,9,4,5.36,26.5,5.53,23.9,0.439,0.374,0.571,0.462,0.38,0.0,10.67,10.67
62,New Mexico St.,2016,3,9,5.44,24.8,6.56,38.8,0.339,0.469,0.542,0.471,0.08,1.0,15.7,15.7
63,North Carolina,2016,8,5,6.64,32.3,5.37,24.9,0.455,0.426,0.4,0.667,-0.15,0.0,0.22,0.22
64,North Texas,2016,5,8,5.08,24.8,6.07,32.6,0.348,0.477,0.364,0.407,0.08,1.0,9.04,9.04
65,Northern Ill.,2016,5,7,5.86,30.5,5.79,30.3,0.414,0.378,0.474,0.667,-0.08,0.0,3.88,3.88
66,Northwestern,2016,7,6,5.26,26.0,5.4,22.2,0.395,0.365,0.5,0.538,0.69,0.0,9.54,9.54
67,Notre Dame,2016,4,8,6.07,30.9,5.4,27.8,0.405,0.39,0.65,0.522,-0.33,2.0,15.05,15.05
68,Ohio,2016,8,6,5.47,26.3,5.13,22.6,0.377,0.387,0.444,0.55,0.07,1.0,4.61,4.61
69,Ohio St.,2016,11,2,6.02,39.4,4.37,15.5,0.467,0.322,0.619,0.348,1.15,1.0,3.93,3.93
70,Oklahoma,2016,11,2,7.54,43.9,5.85,28.8,0.515,0.426,0.538,0.556,0.0,0.0,7.44,7.44
71,Oklahoma St.,2016,10,3,6.73,38.6,5.93,26.5,0.43,0.39,0.417,0.407,0.85,0.0,0.94,0.94
72,Old Dominion,2016,10,3,6.41,35.1,5.41,27.2,0.372,0.376,0.581,0.486,1.0,0.0,16.63,16.63
73,Ole Miss,2016,5,7,6.16,32.6,6.18,34.0,0.402,0.417,0.375,0.643,-0.25,0.0,11.8,11.8
74,Oregon,2016,4,8,6.61,35.4,6.41,41.4,0.391,0.485,0.621,0.438,-0.25,0.0,7.94,7.94
75,Oregon St.,2016,4,8,5.52,26.2,5.76,30.5,0.372,0.418,0.2,0.522,0.08,0.0,3.61,3.61
76,Penn St.,2016,11,3,6.5,37.6,5.04,25.4,0.326,0.384,0.5,0.381,0.07,0.0,6.95,6.95
77,Pittsburgh,2016,8,5,6.71,40.9,5.98,35.2,0.454,0.406,0.538,0.75,0.08,1.0,8.14,8.14
78,Purdue,2016,3,9,5.11,24.6,6.22,38.3,0.45,0.492,0.455,0.692,-1.42,0.0,3.21,3.21
79,Rice,2016,3,9,5.16,25.3,7.43,37.3,0.368,0.395,0.647,0.588,-0.58,1.0,6.2,6.2
80,Rutgers,2016,2,10,4.14,15.7,6.35,37.5,0.308,0.405,0.438,0.524,-0.42,2.0,10.46,10.46
81,SMU,2016,5,7,5.49,27.7,6.0,36.3,0.433,0.377,0.375,0.609,0.17,1.0,9.32,9.32
82,South Alabama,2016,6,7,5.73,25.4,5.63,27.0,0.387,0.347,0.455,0.55,-0.15,0.0,2.0,2.0
83,South Carolina,2016,6,7,5.15,20.8,5.62,26.5,0.342,0.426,0.52,0.583,0.54,3.0,9.58,9.58
84,South Fla.,2016,11,2,7.17,43.8,5.82,31.6,0.444,0.392,0.895,0.529,0.69,0.0,9.25,9.25
85,Southern California,2016,10,3,6.4,34.4,5.38,24.2,0.478,0.354,0.5,0.6,0.0,0.0,6.25,6.25
86,Southern Miss.,2016,7,6,6.01,32.8,5.71,29.5,0.409,0.24,0.629,0.417,-1.31,0.0,5.38,5.38
87,Stanford,2016,10,3,5.77,26.3,5.35,20.4,0.421,0.372,0.5,0.571,0.15,0.0,7.53,7.53
88,Syracuse,2016,4,8,5.45,25.7,6.91,38.6,0.396,0.414,0.63,0.529,-0.08,2.0,8.11,8.11
89,TCU,2016,6,7,6.08,31.0,5.49,28.0,0.406,0.436,0.588,0.556,-0.31,0.0,3.95,3.95
90,Temple,2016,10,4,5.99,32.4,4.64,18.4,0.416,0.347,0.435,0.5,0.43,1.0,3.71,3.71
91,Tennessee,2016,9,4,6.44,36.4,5.84,28.8,0.411,0.379,0.222,0.308,-0.15,0.0,12.67,12.67
92,Texas,2016,5,7,5.9,31.9,5.63,31.5,0.361,0.383,0.5,0.471,-0.25,0.0,4.89,4.89
93,Texas A&M,2016,8,5,6.37,34.8,5.55,24.5,0.392,0.389,0.556,0.333,0.23,0.0,5.2,5.2
94,Texas St.,2016,2,10,4.31,18.6,6.19,41.1,0.31,0.423,0.478,0.714,-1.17,1.0,6.78,6.78
95,Texas Tech,2016,5,7,6.5,43.7,7.05,43.5,0.518,0.433,0.44,0.524,-0.33,1.0,8.4,8.4
96,Toledo,2016,9,4,7.2,38.0,5.81,25.7,0.511,0.347,0.4,0.467,-0.31,1.0,6.6,6.6
97,Troy,2016,10,3,5.72,33.7,5.05,22.1,0.37,0.353,0.654,0.545,0.77,0.0,7.47,7.47
98,Tulane,2016,4,8,4.83,24.1,5.36,27.7,0.278,0.429,0.556,0.333,0.75,0.0,2.07,2.07
99,Tulsa,2016,10,3,6.15,42.5,5.47,29.8,0.462,0.373,0.6,0.531,0.0,0.0,8.29,8.29
100,UCF,2016,6,7,4.68,28.8,4.78,24.6,0.297,0.29,0.429,0.452,0.08,0.0,10.61,10.61
101,UCLA,2016,4,8,5.43,24.9,4.86,27.5,0.352,0.347,0.455,0.7,-0.17,1.0,11.22,11.22
102,UConn,2016,3,9,4.81,14.8,5.72,28.1,0.337,0.408,0.478,0.591,-0.67,0.0,9.81,9.81
103,Utah,2016,9,4,5.78,29.8,5.56,23.9,0.383,0.388,0.591,0.5,0.46,1.0,7.48,7.48
104,UTEP,2016,4,8,6.02,26.3,6.12,34.9,0.418,0.414,0.333,0.643,-0.42,0.0,6.46,6.46
105,UTSA,2016,6,7,5.38,29.2,5.69,27.9,0.44,0.398,0.538,0.421,0.23,2.0,6.86,6.86
106,Vanderbilt,2016,6,7,5.19,23.0,5.9,24.0,0.355,0.403,0.333,0.316,0.31,1.0,7.05,7.05
107,Virginia,2016,2,10,4.86,22.5,6.33,33.8,0.346,0.434,0.522,0.533,-0.75,1.0,7.87,7.87
108,Virginia Tech,2016,10,4,5.73,35.0,4.99,22.8,0.425,0.275,0.563,0.476,-0.07,0.0,4.36,4.36
109,Wake Forest,2016,7,6,4.57,20.4,5.33,22.2,0.348,0.341,0.412,0.429,0.62,0.0,9.13,9.13
110,Washington,2016,12,2,6.83,41.8,4.61,17.7,0.441,0.306,0.5,0.486,1.29,0.0,8.92,8.92
111,Washington St.,2016,8,5,6.11,38.2,6.04,26.4,0.471,0.399,0.548,0.375,0.46,1.0,8.83,8.83
112,West Virginia,2016,10,3,6.42,31.2,5.56,24.0,0.428,0.403,0.5,0.35,0.31,1.0,6.0,6.0
113,Western Ky.,2016,11,3,7.65,45.5,5.2,24.6,0.467,0.38,0.412,0.393,0.14,0.0,5.44,5.44
114,Western Mich.,2016,13,1,6.66,41.6,5.82,19.8,0.537,0.397,0.882,0.556,1.29,0.0,5.5,5.5
115,Wisconsin,2016,11,3,5.45,28.4,4.92,15.6,0.441,0.279,0.5,0.368,0.86,0.0,7.3,7.3
0,Air Force,2017,5,7,5.52,31.4,6.81,32.4,0.488,0.423,0.64,0.556,-0.83,0.0,13.56,13.56
1,Akron,2017,7,7,4.88,22.1,6.02,28.0,0.394,0.342,0.467,0.607,0.71,0.0,14.35,14.35
2,Alabama,2017,13,1,6.59,37.1,3.99,11.9,0.404,0.346,0.833,0.368,1.0,0.0,6.5,6.5
3,Appalachian St.,2017,9,4,6.45,33.5,5.31,20.2,0.403,0.331,0.542,0.5,0.92,1.0,8.19,8.19
4,Arizona,2017,7,6,7.01,41.3,6.03,34.4,0.423,0.467,0.706,0.56,0.23,0.0,12.06,12.06
5,Arizona St.,2017,7,6,5.71,31.8,6.33,32.8,0.447,0.422,0.556,0.389,0.15,1.0,5.57,5.57
6,Arkansas,2017,4,8,5.59,28.8,6.45,36.2,0.418,0.475,0.5,0.667,-0.08,1.0,3.64,3.64
7,Arkansas St.,2017,7,5,6.09,37.8,5.29,25.8,0.444,0.33,0.333,0.364,-0.08,3.0,2.0,2.0
8,Army West Point,2017,10,3,5.97,30.7,6.25,22.0,0.552,0.401,0.633,0.737,0.38,1.0,8.71,8.71
9,Auburn,2017,10,4,6.17,33.9,4.67,18.5,0.455,0.329,0.467,0.467,-0.07,1.0,11.43,11.43
10,Ball St.,2017,2,10,4.46,17.9,6.62,40.7,0.389,0.466,0.333,0.333,-0.75,0.0,12.35,12.35
11,Baylor,2017,1,11,5.55,24.3,6.46,35.9,0.328,0.391,0.515,0.625,-1.17,1.0,2.95,2.95
12,Boise St.,2017,11,3,5.8,32.5,4.83,22.9,0.458,0.382,0.176,0.609,0.93,0.0,3.71,3.71
13,Boston College,2017,7,6,5.1,25.7,5.37,22.8,0.385,0.37,0.4,0.412,0.38,0.0,4.66,4.66
14,Bowling Green,2017,2,10,5.48,25.3,6.61,38.0,0.364,0.478,0.333,0.474,-0.08,0.0,4.27,4.27
15,Buffalo,2017,6,6,6.26,28.5,5.49,24.8,0.414,0.418,0.667,0.55,0.08,0.0,8.36,8.36
16,BYU,2017,4,9,5.14,17.1,5.35,24.7,0.358,0.406,0.308,0.56,-0.77,0.0,3.56,3.56
17,California,2017,5,7,5.17,27.8,5.81,28.4,0.404,0.442,0.68,0.444,0.33,0.0,10.47,10.47
18,Central Mich.,2017,8,5,5.49,28.5,5.03,27.5,0.304,0.349,0.556,0.474,0.0,0.0,9.24,9.24
19,Charlotte,2017,1,11,4.92,14.2,6.16,32.8,0.26,0.436,0.45,0.4,-0.75,0.0,6.11,6.11
20,Cincinnati,2017,4,8,5.24,20.9,5.85,31.8,0.39,0.433,0.533,0.778,-0.42,1.0,4.47,4.47
21,Clemson,2017,12,2,5.74,33.3,4.27,13.6,0.463,0.293,0.722,0.577,0.29,0.0,9.81,9.81
22,Colorado,2017,5,7,5.51,26.4,6.12,28.2,0.418,0.422,0.5,0.375,0.0,0.0,5.0,5.0
23,Colorado St.,2017,7,6,6.55,33.4,6.29,27.8,0.503,0.441,0.35,0.389,0.15,0.0,10.46,10.46
24,Duke,2017,7,6,4.92,26.5,5.22,20.2,0.392,0.32,0.63,0.222,0.0,0.0,7.15,7.15
25,East Carolina,2017,3,9,5.44,24.9,7.72,45.0,0.412,0.52,0.586,0.615,-0.83,1.0,12.0,12.0
26,Eastern Mich.,2017,5,7,5.42,26.1,5.34,23.3,0.345,0.368,0.588,0.2,-0.33,0.0,6.19,6.19
27,FIU,2017,8,5,5.73,25.6,6.02,28.5,0.432,0.384,0.476,0.429,-0.23,0.0,6.08,6.08
28,Fla. Atlantic,2017,11,3,6.8,40.6,5.19,22.7,0.397,0.394,0.615,0.438,0.93,0.0,4.5,4.5
29,Florida,2017,4,7,5.19,22.1,5.73,27.3,0.325,0.331,0.667,0.714,-0.27,0.0,10.93,10.93
30,Florida St.,2017,7,6,5.66,27.8,4.75,21.2,0.352,0.362,0.5,0.481,-0.46,0.0,12.65,12.65
31,Fresno St.,2017,10,4,5.78,27.1,4.86,17.9,0.356,0.348,0.667,0.292,0.57,0.0,14.46,14.46
32,Ga. Southern,2017,2,10,4.75,20.8,6.6,32.2,0.351,0.392,0.607,0.438,0.0,0.0,10.2,10.2
33,Georgia,2017,13,2,6.7,35.4,4.69,16.4,0.456,0.329,0.583,0.294,0.27,0.0,5.94,5.94
34,Georgia St.,2017,7,5,5.46,20.3,5.8,24.8,0.429,0.385,0.5,0.583,-0.33,1.0,10.0,10.0
35,Georgia Tech,2017,5,6,5.74,28.1,5.52,26.5,0.456,0.309,0.421,0.556,-0.45,1.0,9.43,9.43
36,Hawaii,2017,3,9,5.73,22.8,6.76,33.9,0.383,0.488,0.357,0.667,0.08,2.0,7.44,7.44
37,Houston,2017,7,5,6.0,28.3,5.37,23.8,0.455,0.391,0.444,0.636,-0.17,1.0,5.33,5.33
38,Idaho,2017,4,8,5.09,20.9,5.61,25.8,0.354,0.404,0.36,0.714,0.17,0.0,13.84,13.84
39,Illinois,2017,2,10,4.64,15.4,5.66,31.5,0.335,0.437,0.4,0.667,-0.58,0.0,4.77,4.77
40,Indiana,2017,5,7,4.99,26.8,4.92,25.3,0.379,0.299,0.474,0.529,-0.58,1.0,4.96,4.96
41,Iowa,2017,8,5,5.12,28.2,5.08,19.9,0.344,0.346,0.636,0.48,0.54,0.0,4.65,4.65
42,Iowa St.,2017,8,5,5.55,29.2,5.4,20.9,0.392,0.407,0.737,0.438,0.77,1.0,5.69,5.69
43,Kansas,2017,1,11,4.64,18.7,6.44,43.4,0.289,0.401,0.542,0.619,-1.42,1.0,18.3,18.3
44,Kansas St.,2017,8,5,6.14,32.3,5.82,25.2,0.336,0.412,0.333,0.542,0.77,0.0,5.71,5.71
45,Kent St.,2017,2,10,4.38,12.8,6.21,35.1,0.287,0.315,0.2,0.667,-0.58,1.0,3.41,3.41
46,Kentucky,2017,7,6,5.56,25.5,6.22,28.2,0.393,0.405,0.6,0.621,0.23,0.0,4.42,4.42
47,La.-Monroe,2017,4,8,6.37,33.9,7.26,41.0,0.435,0.46,0.565,0.556,-0.33,1.0,7.79,7.79
48,Louisiana,2017,5,7,5.78,28.2,6.58,40.0,0.36,0.485,0.5,0.588,-0.08,1.0,14.63,14.63
49,Louisiana Tech,2017,7,6,5.73,30.5,5.59,25.4,0.407,0.414,0.563,0.667,1.0,1.0,8.08,8.08
50,Louisville,2017,8,5,7.39,38.1,5.61,27.4,0.442,0.413,0.633,0.579,0.15,1.0,5.95,5.95
51,LSU,2017,9,4,6.19,27.2,5.07,18.9,0.414,0.354,0.4,0.381,0.77,0.0,6.27,6.27
52,Marshall,2017,8,5,5.5,26.7,4.95,19.9,0.444,0.36,0.429,0.44,-0.62,0.0,3.88,3.88
53,Maryland,2017,4,8,5.15,24.1,5.62,37.1,0.286,0.495,0.458,0.5,0.17,0.0,11.23,11.23
54,Massachusetts,2017,4,8,6.0,30.6,5.76,31.8,0.347,0.372,0.625,0.429,0.25,1.0,13.41,13.41
55,Memphis,2017,10,3,7.35,45.5,5.75,32.5,0.438,0.456,0.55,0.667,1.15,0.0,4.6,4.6
56,Miami,2017,10,3,6.24,29.1,4.77,21.0,0.288,0.395,0.667,0.409,1.0,1.0,5.75,5.75
57,Miami,2017,5,7,5.54,24.4,5.42,24.1,0.375,0.388,0.5,0.4,-0.08,2.0,1.25,1.25
58,Michigan,2017,8,5,5.18,25.2,4.52,18.8,0.326,0.261,0.563,0.455,-0.31,0.0,9.0,9.0
59,Michigan St.,2017,10,3,5.13,24.5,4.87,20.0,0.449,0.328,0.579,0.6,0.23,1.0,2.58,2.58
60,Middle Tenn.,2017,7,6,5.68,25.5,4.95,24.7,0.376,0.348,0.438,0.455,-0.92,0.0,6.0,6.0
61,Minnesota,2017,5,7,4.88,22.1,5.52,22.8,0.335,0.384,0.769,0.412,0.0,0.0,6.0,6.0
62,Mississippi St.,2017,9,4,5.51,32.0,5.23,20.9,0.462,0.304,0.52,0.375,-0.08,0.0,4.78,4.78
63,Missouri,2017,7,6,7.13,37.5,5.6,31.8,0.451,0.434,0.273,0.529,-0.62,1.0,8.36,8.36
64,Navy,2017,7,6,6.03,30.5,6.17,26.3,0.455,0.425,0.657,0.5,-0.23,1.0,4.93,4.93
65,NC State,2017,9,4,5.99,32.2,5.56,25.2,0.447,0.419,0.56,0.476,0.62,1.0,13.17,13.17
66,Nebraska,2017,4,8,5.59,25.8,6.34,36.4,0.376,0.431,0.481,0.5,-0.58,1.0,10.09,10.09
67,Nevada,2017,3,9,5.87,28.2,6.12,33.9,0.398,0.443,0.393,0.545,-0.17,1.0,16.5,16.5
68,New Mexico,2017,3,9,5.5,20.7,6.13,31.8,0.301,0.383,0.435,0.545,-1.33,0.0,10.64,10.64
69,New Mexico St.,2017,7,6,5.82,29.3,5.36,29.7,0.438,0.296,0.538,0.579,-0.15,2.0,6.25,6.25
70,North Carolina,2017,3,9,5.32,26.0,5.85,31.3,0.309,0.374,0.619,0.708,-0.5,1.0,12.67,12.67
71,North Texas,2017,9,5,6.14,35.5,5.96,35.0,0.433,0.439,0.563,0.559,-0.79,2.0,3.0,3.0
72,Northern Ill.,2017,8,5,5.1,28.9,4.62,22.0,0.392,0.305,0.294,0.556,-0.15,1.0,7.17,7.17
73,Northwestern,2017,10,3,5.31,29.2,5.02,20.1,0.355,0.361,0.564,0.364,0.54,0.0,5.79,5.79
74,Notre Dame,2017,10,3,6.39,34.2,5.05,21.5,0.438,0.353,0.556,0.458,0.23,0.0,8.41,8.41
75,Ohio,2017,9,4,6.43,39.1,5.3,24.2,0.411,0.299,0.667,0.4,-0.31,0.0,5.83,5.83
76,Ohio St.,2017,12,2,6.88,41.1,4.44,19.0,0.465,0.321,0.682,0.481,0.36,2.0,7.71,7.71
77,Oklahoma,2017,12,2,8.29,45.1,5.84,27.1,0.426,0.38,0.522,0.591,0.36,0.0,16.38,16.38
78,Oklahoma St.,2017,10,3,7.34,45.0,5.51,29.4,0.456,0.388,0.65,0.529,0.23,1.0,6.85,6.85
79,Old Dominion,2017,5,7,4.92,20.7,5.8,31.7,0.344,0.454,0.32,0.526,-0.33,0.0,6.35,6.35
80,Ole Miss,2017,6,6,6.9,32.8,6.16,34.6,0.381,0.415,0.4,0.632,-0.42,0.0,9.91,9.91
81,Oregon,2017,7,6,6.1,36.0,5.07,29.0,0.41,0.333,0.412,0.417,0.0,0.0,6.55,6.55
82,Oregon St.,2017,1,11,5.18,20.7,6.61,43.0,0.402,0.532,0.615,0.733,-1.17,0.0,5.5,5.5
83,Penn St.,2017,11,2,6.58,41.1,4.77,16.5,0.48,0.349,0.571,0.44,0.92,0.0,4.29,4.29
84,Pittsburgh,2017,5,7,5.35,23.9,5.96,26.6,0.357,0.406,0.65,0.471,0.0,1.0,12.55,12.55
85,Purdue,2017,7,6,5.59,25.2,5.27,20.5,0.333,0.359,0.565,0.565,0.31,0.0,6.85,6.85
86,Rice,2017,1,11,5.44,16.3,6.43,35.8,0.388,0.486,0.368,0.625,-1.92,0.0,11.57,11.57
87,Rutgers,2017,4,8,4.43,18.0,5.72,28.3,0.321,0.384,0.286,0.6,-0.42,0.0,9.42,9.42
88,San Diego St.,2017,10,3,6.29,30.8,5.08,20.2,0.448,0.39,0.444,0.222,0.54,0.0,10.13,10.13
89,San Jose St.,2017,2,11,4.6,15.8,6.21,41.7,0.305,0.454,0.429,0.85,-2.0,0.0,14.47,14.47
90,SMU,2017,7,6,6.39,37.8,6.59,36.7,0.432,0.429,0.7,0.448,0.31,0.0,6.7,6.7
91,South Alabama,2017,4,8,5.1,19.8,5.88,26.5,0.307,0.426,0.444,0.5,0.17,1.0,6.61,6.61
92,South Carolina,2017,9,4,5.46,24.2,5.16,20.7,0.38,0.398,0.429,0.5,0.85,0.0,5.6,5.6
93,South Fla.,2017,10,2,6.15,38.3,4.84,23.5,0.437,0.364,0.6,0.368,0.83,1.0,7.52,7.52
94,Southern California,2017,11,3,6.55,32.6,5.62,26.1,0.411,0.357,0.444,0.556,-0.14,1.0,9.53,9.53
95,Southern Miss.,2017,8,5,5.89,29.2,5.05,24.5,0.373,0.346,0.522,0.444,-0.08,0.0,5.8,5.8
96,Stanford,2017,9,5,6.45,32.4,5.98,22.7,0.426,0.435,0.583,0.389,1.14,0.0,9.84,9.84
97,Syracuse,2017,4,8,5.33,27.4,6.4,32.2,0.397,0.311,0.579,0.5,-1.0,0.0,2.67,2.67
98,TCU,2017,11,3,6.09,33.6,5.07,19.0,0.457,0.313,0.357,0.48,0.21,0.0,8.25,8.25
99,Temple,2017,7,6,5.52,25.1,5.4,25.8,0.414,0.383,0.5,0.478,-0.31,0.0,6.93,6.93
100,Tennessee,2017,4,8,4.77,19.8,5.94,29.1,0.307,0.452,0.3,0.4,-0.25,0.0,7.33,7.33
101,Texas,2017,7,6,5.15,29.5,5.19,21.2,0.381,0.271,0.467,0.3,0.62,0.0,6.59,6.59
102,Texas A&M,2017,7,6,5.54,32.7,5.63,30.7,0.38,0.347,0.5,0.667,0.23,1.0,8.11,8.11
103,Texas St.,2017,2,10,4.77,17.3,6.18,33.6,0.337,0.361,0.231,0.25,-1.25,1.0,8.23,8.23
104,Texas Tech,2017,6,7,6.17,34.3,5.78,32.2,0.446,0.421,0.429,0.625,0.85,0.0,5.58,5.58
105,Toledo,2017,11,3,6.91,36.4,5.63,26.2,0.391,0.344,0.444,0.423,0.07,0.0,3.5,3.5
106,Troy,2017,11,2,6.24,31.5,4.78,18.5,0.429,0.389,0.632,0.467,0.54,0.0,9.41,9.41
107,Tulane,2017,5,7,5.76,27.5,6.68,29.2,0.399,0.444,0.64,0.478,0.67,0.0,6.33,6.33
108,Tulsa,2017,2,10,5.71,29.3,7.31,37.5,0.437,0.443,0.609,0.471,0.08,0.0,8.5,8.5
109,UAB,2017,8,5,5.42,27.8,5.39,25.6,0.454,0.364,0.333,0.474,0.31,1.0,10.32,10.32
110,UCF,2017,13,0,7.46,48.2,5.74,25.3,0.455,0.408,0.5,0.484,1.31,1.0,6.83,6.83
111,UCLA,2017,6,7,6.39,32.5,6.26,36.6,0.412,0.384,0.65,0.48,-0.69,0.0,12.63,12.63
112,UConn,2017,3,9,5.49,23.6,6.77,37.9,0.398,0.475,0.407,0.435,-0.67,0.0,3.76,3.76
113,UNLV,2017,5,7,6.2,28.8,6.27,31.8,0.407,0.438,0.6,0.538,0.33,0.0,14.25,14.25
114,Utah,2017,7,6,5.64,29.5,5.07,23.2,0.352,0.378,0.579,0.545,0.08,0.0,3.86,3.86
115,Utah St.,2017,6,7,5.62,30.2,5.17,26.9,0.343,0.355,0.526,0.462,0.38,1.0,8.0,8.0
116,UTEP,2017,0,12,4.09,11.8,6.24,36.8,0.269,0.519,0.45,0.647,-0.5,0.0,9.55,9.55
117,UTSA,2017,6,5,5.65,23.5,4.98,17.0,0.416,0.348,0.571,0.4,0.36,0.0,2.88,2.88
118,Vanderbilt,2017,5,7,5.6,24.6,5.85,31.3,0.417,0.373,0.45,0.529,-0.42,0.0,10.06,10.06
