,team,year,win,loss,off_yards_play,points_per_game,yards_play_allowed,avg_points_per_game_allowed,x3rd_percent,opponent_3rd_percent,x4th_percent,opponent_4th_percent,avg_turnover_margin_per_game,avg_yard_per_kickoff_return,avg_yards_per_punt_return,avg_yards_allowed_per_punt_return
81,Oregon,2021,10,4,6.27,31.4,5.46,27.0,0.511,0.46,0.45,0.667,0.57,0.0,11.07,11.07
82,Oregon St.,2021,7,6,6.43,31.2,5.7,25.8,0.488,0.503,0.478,0.381,0.08,0.0,8.14,8.14
83,Penn St.,2021,7,6,5.3,25.0,4.75,17.3,0.386,0.358,0.462,0.625,0.46,0.0,2.79,2.79
84,Pittsburgh,2021,11,3,6.37,41.4,5.07,23.6,0.441,0.335,0.68,0.269,0.57,1.0,5.27,5.27
85,Purdue,2021,9,4,5.91,29.1,5.56,22.4,0.436,0.369,0.5,0.364,-0.23,0.0,6.38,6.38
86,Rice,2021,4,8,5.31,21.5,6.68,36.2,0.354,0.39,0.533,0.667,-0.25,1.0,7.57,7.57
87,Rutgers,2021,5,8,4.52,19.7,5.96,25.6,0.321,0.339,0.359,0.421,0.31,0.0,2.93,2.93
88,San Diego St.,2021,12,2,5.14,27.4,4.73,19.8,0.321,0.318,0.591,0.5,0.71,0.0,11.41,11.41
89,San Jose St.,2021,5,7,5.41,20.0,5.12,26.5,0.335,0.4,0.333,0.611,-0.83,0.0,3.36,3.36
90,SMU,2021,8,4,6.28,38.4,5.92,28.4,0.435,0.38,0.667,0.433,-0.25,1.0,9.0,9.0
91,South Alabama,2021,5,7,5.21,24.9,5.41,26.4,0.307,0.34,0.609,0.583,0.42,2.0,8.0,8.0
92,South Carolina,2021,7,6,5.29,22.6,5.63,24.0,0.351,0.402,0.483,0.5,0.0,0.0,11.55,11.55
93,South Fla.,2021,2,10,5.01,23.2,6.97,34.7,0.343,0.396,0.516,0.636,-0.33,0.0,11.0,11.0
94,Southern California,2021,4,8,5.91,28.7,6.4,31.8,0.453,0.428,0.625,0.684,-0.08,1.0,6.0,6.0
95,Southern Miss.,2021,3,9,4.25,17.7,5.8,27.9,0.293,0.377,0.412,0.429,-0.58,2.0,11.09,11.09
96,Stanford,2021,3,9,5.2,20.4,6.49,32.4,0.331,0.434,0.6,0.583,-0.83,0.0,11.21,11.21
97,Syracuse,2021,5,7,5.73,24.9,5.11,26.3,0.327,0.372,0.5,0.526,-0.58,1.0,8.56,8.56
98,TCU,2021,5,7,6.68,28.7,7.21,34.9,0.461,0.469,0.389,0.556,-0.33,0.0,1.67,1.67
99,Temple,2021,3,9,4.77,16.3,5.56,37.5,0.28,0.421,0.44,0.774,-0.17,0.0,11.41,11.41
100,Tennessee,2021,7,6,6.49,39.3,5.43,29.1,0.447,0.421,0.469,0.514,0.23,1.0,2.0,2.0
101,Texas,2021,5,7,6.34,35.2,6.03,31.1,0.438,0.419,0.45,0.579,-0.33,0.0,2.86,2.86
102,Texas A&M,2021,8,4,5.96,29.3,4.66,15.9,0.378,0.328,0.6,0.353,0.08,0.0,5.11,5.11
103,Texas St.,2021,4,8,4.96,23.1,5.8,33.0,0.341,0.464,0.696,0.682,-0.67,0.0,6.14,6.14
104,Texas Tech,2021,7,6,6.57,30.3,5.86,30.2,0.427,0.447,0.483,0.733,-0.31,0.0,8.44,8.44
105,Toledo,2021,7,6,6.58,33.4,4.87,21.8,0.356,0.379,0.417,0.458,0.54,0.0,9.88,9.88
106,Troy,2021,5,7,5.17,22.8,5.08,26.1,0.399,0.333,0.6,0.719,0.25,0.0,6.28,6.28
107,Tulane,2021,2,10,5.64,27.6,5.81,34.0,0.361,0.4,0.5,0.793,-0.75,0.0,6.17,6.17
108,Tulsa,2021,7,6,5.98,26.4,5.45,26.6,0.384,0.385,0.474,0.478,-0.46,4.0,14.31,14.31
109,UAB,2021,9,4,6.29,29.5,5.02,23.2,0.408,0.346,0.667,0.519,0.15,0.0,7.86,7.86
110,UCF,2021,9,4,6.04,31.9,5.08,24.5,0.379,0.378,0.846,0.483,0.46,0.0,8.71,8.71
111,UCLA,2021,8,4,6.2,36.5,5.48,26.8,0.46,0.436,0.645,0.4,0.58,0.0,4.5,4.5
112,UConn,2021,1,11,4.06,15.6,5.94,38.5,0.236,0.415,0.379,0.72,-0.67,0.0,4.41,4.41
113,ULM,2021,4,8,4.45,20.9,6.12,33.5,0.333,0.41,0.469,0.353,0.17,0.0,7.35,7.35
114,UNLV,2021,2,10,5.16,20.8,6.13,32.8,0.348,0.411,0.235,0.524,-0.42,1.0,7.92,7.92
115,Utah,2021,10,4,6.38,36.1,5.24,22.6,0.482,0.374,0.458,0.515,0.07,3.0,6.83,6.83
116,Utah St.,2021,11,3,5.84,32.6,5.81,24.4,0.448,0.346,0.533,0.238,0.14,1.0,4.33,4.33
117,UTEP,2021,7,6,6.02,25.1,5.23,25.2,0.317,0.326,0.792,0.5,-0.85,0.0,9.77,9.77
118,UTSA,2021,12,2,6.13,36.9,5.65,24.6,0.437,0.374,0.565,0.524,0.86,0.0,4.86,4.86
119,Vanderbilt,2021,2,10,4.51,15.8,6.76,35.6,0.319,0.357,0.633,0.619,-0.25,0.0,15.41,15.41
120,Virginia,2021,6,6,6.94,34.6,6.63,31.8,0.459,0.41,0.421,0.6,-0.25,1.0,9.81,9.81
121,Virginia Tech,2021,6,7,5.55,23.7,5.86,25.3,0.401,0.353,0.5,0.64,0.08,0.0,15.07,15.07
122,Wake Forest,2021,11,3,6.04,41.0,5.86,28.9,0.491,0.387,0.619,0.375,0.64,1.0,9.2,9.2
123,Washington,2021,4,8,4.98,21.5,5.02,22.7,0.444,0.357,0.435,0.588,-0.67,0.0,11.16,11.16
124,Washington St.,2021,7,6,5.75,27.8,5.52,24.2,0.394,0.379,0.375,0.435,0.85,0.0,10.13,10.13
125,West Virginia,2021,6,7,5.37,25.2,5.55,23.8,0.398,0.347,0.679,0.4,-0.38,1.0,6.45,6.45
126,Western Ky.,2021,9,5,7.17,44.2,5.63,29.4,0.466,0.436,0.5,0.439,0.79,0.0,18.57,18.57
127,Western Mich.,2021,8,5,6.32,32.5,5.78,28.2,0.456,0.268,0.462,0.682,0.0,1.0,19.88,19.88
128,Wisconsin,2021,9,4,5.56,25.4,4.17,16.2,0.337,0.287,0.524,0.407,0.08,1.0,7.76,7.76
129,Wyoming,2021,7,6,5.79,25.4,5.4,23.7,0.434,0.418,0.35,0.32,-0.23,0.0,9.12,9.12
0,Tennessee,2022,11,2,7.23,46.1,5.32,22.8,0.416,0.342,0.667,0.424,0.85,19.88,16.55,2.5
1,Washington,2022,11,2,6.88,39.7,5.59,25.8,0.568,0.445,0.571,0.486,0.08,19.48,11.0,6.11
2,Southern California,2022,11,3,7.18,41.4,6.53,29.2,0.536,0.429,0.682,0.655,1.57,18.19,5.47,11.43
3,UCLA,2022,9,4,7.01,39.2,5.64,29.0,0.509,0.394,0.577,0.7,-0.23,20.57,5.09,10.6
4,Georgia,2022,15,0,7.17,41.1,4.88,14.3,0.511,0.266,0.867,0.364,0.07,19.86,12.62,18.33
5,Oregon,2022,10,3,6.92,38.8,5.8,27.4,0.463,0.468,0.606,0.481,0.69,18.81,4.92,13.6
6,Western Ky.,2022,9,5,6.71,36.4,5.24,23.4,0.415,0.357,0.405,0.452,0.71,20.91,9.0,9.75
7,Ole Miss,2022,8,5,6.45,33.5,5.32,25.5,0.471,0.386,0.472,0.472,-0.08,17.88,6.94,6.45
8,Ohio St.,2022,11,2,7.28,44.2,5.18,21.0,0.452,0.299,0.706,0.36,0.62,19.0,6.67,7.11
9,Florida St.,2022,10,3,6.96,36.1,4.85,20.6,0.512,0.35,0.333,0.542,0.15,23.4,10.81,6.0
10,Alabama,2022,11,2,6.92,41.1,4.59,18.2,0.457,0.305,0.562,0.385,-0.15,17.71,16.73,6.09
11,UTSA,2022,11,3,6.37,36.8,5.55,25.9,0.481,0.38,0.481,0.432,0.14,19.75,5.14,3.86
12,Oklahoma,2022,6,7,6.24,32.8,5.75,30.0,0.405,0.409,0.379,0.5,0.46,19.79,14.08,2.83
13,SMU,2022,7,6,6.12,37.2,6.0,33.8,0.478,0.381,0.595,0.649,-0.15,20.11,9.47,5.75
14,Arkansas,2022,7,6,6.37,32.5,6.46,30.6,0.459,0.45,0.45,0.545,0.0,17.89,9.5,14.4
15,UCF,2022,9,5,6.17,32.9,5.65,23.6,0.464,0.381,0.633,0.433,-0.36,18.79,8.75,8.53
16,Utah,2022,10,4,6.5,38.6,5.8,21.4,0.506,0.315,0.621,0.367,0.43,18.0,7.55,1.0
17,Ga. Southern,2022,6,7,6.17,32.7,6.5,31.6,0.472,0.43,0.565,0.522,-0.38,17.35,9.16,11.5
18,North Carolina,2022,9,5,6.27,34.4,6.14,30.8,0.463,0.418,0.676,0.5,0.0,23.68,13.31,7.24
19,Arizona,2022,5,7,6.83,30.8,6.6,36.5,0.422,0.478,0.435,0.571,-0.5,17.7,7.15,8.24
20,North Texas,2022,7,7,6.68,33.8,6.08,31.7,0.429,0.458,0.565,0.533,-0.43,20.35,4.45,2.67
21,Texas Tech,2022,8,5,5.48,34.2,5.88,29.2,0.37,0.386,0.635,0.333,-0.46,22.7,6.47,15.7
22,East Carolina,2022,8,5,6.62,32.5,6.1,27.2,0.464,0.423,0.448,0.435,1.0,23.12,7.05,7.71
23,Michigan,2022,13,1,6.62,40.4,4.65,16.1,0.452,0.338,0.81,0.321,0.57,20.05,8.52,10.38
24,Houston,2022,8,5,6.57,36.1,5.91,32.2,0.457,0.43,0.643,0.559,-0.38,21.36,15.0,5.8
25,App State,2022,6,6,6.56,34.9,5.31,26.8,0.381,0.423,0.486,0.5,0.75,25.96,4.94,5.0
26,TCU,2022,13,2,6.69,38.8,5.71,29.0,0.398,0.365,0.519,0.476,0.4,20.16,12.04,6.43
