team,year,win,loss,off_yards_play,points_per_game,yards_play_allowed,avg_points_per_game_allowed,x3rd_percent,opponent_3rd_percent,x4th_percent,opponent_4th_percent,avg_turnover_margin_per_game,avg_yard_per_kickoff_return,avg_yards_per_punt_return,avg_yards_allowed_per_punt_return,winning_percentage,avg_winning_percentage_last_3_years,change_in_winning_percentage_last_3_years,avg_ppg_last_2,avg_def_ppg_last_2,avg_turnover_margin_last_2,avg_ppg_last_3,avg_def_ppg_last_3,avg_turnover_margin_last_3,avg_ppg_last_5,avg_def_ppg_last_5,avg_turnover_margin_last_5,winning_percentage_lag1,winning_percentage_lag2,points_per_game_lag1,points_per_game_lag2,avg_points_per_game_allowed_lag1,avg_points_per_game_allowed_lag2,off_yards_play_lag1,off_yards_play_lag2,yards_play_allowed_lag1,yards_play_allowed_lag2,avg_turnover_margin_per_game_lag1,avg_turnover_margin_per_game_lag2,career_avg_win_pct,win_pct_above_history,team_id
Miami,2019,6,7,5.66,25.7,4.74,20.2,0.272,0.371,0.52,0.706,0.23,0.0,5.5,5.5,0.46153846153846156,0.5,0.04487179487179488,26.900000000000006,22.85,0.36500000000000005,27.533333333333335,21.73333333333333,0.2166666666666667,27.22,22.060000000000002,0.31399999999999995,0.5,0.5384615384615384,28.1,28.8,25.5,19.5,5.46,5.59,5.24,4.3,0.5,-0.08,0.4635108481262327,-0.0019723865877711577,62
Miami,2019,8,6,4.97,24.1,5.27,28.1,0.333,0.404,0.353,0.517,0.14,0.0,11.65,11.65,0.5714285714285714,0.510989010989011,0.03296703296703296,24.900000000000006,24.150000000000002,0.18500000000000005,25.96666666666667,24.599999999999998,0.29000000000000004,26.22,23.48,0.142,0.46153846153846156,0.5,25.7,28.1,20.2,25.5,5.66,5.46,4.74,5.24,0.23,0.5,0.4712192569335426,0.10020931449502879,62
Miami,2020,8,2,5.97,34.0,5.66,26.0,0.418,0.381,0.714,0.529,0.6,1.0,7.38,7.38,0.8,0.610989010989011,0.30000000000000004,29.050000000000004,27.050000000000004,0.37000000000000005,27.933333333333337,24.766666666666666,0.32333333333333336,28.139999999999997,23.86,0.27799999999999997,0.5714285714285714,0.46153846153846156,24.1,25.7,28.1,20.2,4.97,5.66,5.27,4.74,0.14,0.23,0.49313797313797314,0.3068620268620269,62
Miami,2020,2,1,5.92,28.7,6.06,26.7,0.415,0.462,0.667,0.667,0.0,0.0,0.0,0.0,0.6666666666666666,0.6793650793650793,0.20512820512820507,31.35,26.35,0.30000000000000004,28.933333333333334,26.933333333333334,0.2466666666666667,28.119999999999997,25.3,0.294,0.8,0.5714285714285714,34.0,24.1,26.0,28.1,5.97,4.97,5.66,5.27,0.6,0.14,0.5039835164835165,0.16268315018315016,62
Miami,2021,7,5,6.13,34.1,5.4,28.2,0.42,0.397,0.714,0.455,-0.58,2.0,4.0,4.0,0.5833333333333334,0.6833333333333335,0.011904761904761973,31.400000000000006,27.450000000000003,-0.2899999999999999,32.26666666666667,26.96666666666667,0.00666666666666671,29.32,25.839999999999996,0.078,0.6666666666666666,0.8,28.7,34.0,26.7,26.0,5.92,5.97,6.06,5.66,0.0,0.6,0.5086511527687998,0.07468218056453357,62
Miami,2021,7,6,6.26,28.9,5.54,23.1,0.392,0.374,0.429,0.524,0.38,0.0,8.0,8.0,0.5384615384615384,0.5961538461538461,-0.2615384615384616,31.500000000000004,25.650000000000002,-0.09999999999999992,30.566666666666674,26.0,-0.06666666666666661,29.959999999999997,26.420000000000005,0.10800000000000001,0.5833333333333334,0.6666666666666666,34.1,28.7,28.2,26.7,6.13,5.92,5.4,6.06,-0.58,0.0,0.5103072853072853,0.028154253154253128,62
Miami,2022,5,7,5.33,23.6,5.94,26.8,0.404,0.42,0.409,0.6,-0.25,26.57,9.77,3.8,0.4166666666666667,0.5128205128205129,-0.24999999999999994,26.250000000000007,24.950000000000003,0.06500000000000006,28.86666666666667,26.03333333333333,-0.14999999999999994,29.860000000000003,26.160000000000004,0.030000000000000006,0.5384615384615384,0.5833333333333334,28.9,34.1,23.1,28.2,6.26,6.13,5.54,5.4,0.38,-0.58,0.5053788316946212,-0.08871216502795448,62
Miami,2022,6,7,4.85,20.2,5.41,22.6,0.314,0.401,0.5,0.526,0.77,16.61,6.91,3.0,0.46153846153846156,0.47222222222222227,-0.1217948717948718,21.900000000000006,24.700000000000003,0.26000000000000006,24.233333333333338,24.166666666666668,0.30000000000000004,27.1,25.48,0.06400000000000002,0.4166666666666667,0.5384615384615384,23.6,28.9,26.8,23.1,5.33,6.26,5.94,5.54,-0.25,0.38,0.5031868131868131,-0.04164835164835157,62
Miami,2023,7,6,6.4,31.5,5.17,22.8,0.411,0.358,0.524,0.429,-0.31,21.5,8.64,8.64,0.5384615384615384,0.47222222222222215,0.0,25.85000000000001,22.700000000000003,0.23000000000000007,25.100000000000005,24.066666666666666,0.07000000000000005,27.659999999999997,24.7,0.002000000000000013,0.46153846153846156,0.4166666666666667,20.2,23.6,22.6,26.8,4.85,5.33,5.41,5.94,0.77,-0.25,0.5048665620094192,0.033594976452119285,62
Miami,2023,11,3,5.69,25.6,4.96,15.9,0.361,0.297,0.308,0.438,0.0,18.65,1.3,1.3,0.7857142857142857,0.5952380952380952,0.369047619047619,28.550000000000008,19.35,-0.15499999999999994,25.76666666666667,20.433333333333334,0.15333333333333338,25.96,22.240000000000002,0.11800000000000002,0.5384615384615384,0.46153846153846156,31.5,20.2,22.8,22.6,6.4,4.85,5.17,5.41,-0.31,0.77,0.5176323676323676,0.26808191808191806,62
